Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"SDN-Based Secure Localization in Heterogeneous WSN","Information and Communications Security","","","","10.1007/978-3-319-89500-0_25","Meigen HuangBin Yu","2018","http://link.springer.com/chapter/10.1007/978-3-319-89500-0_25","Chapter"
"A Security Traffic Measurement Approach in SDN-Based Internet of Things","Simulation Tools and Techniques","","","","10.1007/978-3-030-32216-8_14","Liuwei HuoDingde JiangHui Qi","2019","http://link.springer.com/chapter/10.1007/978-3-030-32216-8_14","Chapter"
"OpenCache: Distributed SDN/NFV Based in-Network Caching as a Service","Advances in Data Science, Cyber Security and IT Applications","","","","10.1007/978-3-030-36368-0_22","Shiyam AlalmaeiMatthew BroadbentNicholas RaceSamia Chelloug","2019","http://link.springer.com/chapter/10.1007/978-3-030-36368-0_22","Chapter"
"Detection of SDN Flow Rule Conflicts Based on Knowledge Graph","Emerging Networking Architecture and Technologies","","","","10.1007/978-981-19-9697-9_8","Siyun LiangJian Su","2023","http://link.springer.com/chapter/10.1007/978-981-19-9697-9_8","Chapter"
"A Lightweight Authentication Scheme for SDN-Based Architecture in IoT","Advanced Information Networking and Applications","","","","10.1007/978-3-030-75078-7_34","Nadia KammounRyma AbassiSihem Guemara El FatmiMohamed Mosbah","2021","http://link.springer.com/chapter/10.1007/978-3-030-75078-7_34","Chapter"
"A Framework for DDoS Attack Detection in SDN-Based IoT Using Hybrid Classifier","Machine Learning, Image Processing, Network Security and Data Sciences","","","","10.1007/978-981-19-5868-7_67","Pinkey ChauhanMithilesh Atulkar","2023","http://link.springer.com/chapter/10.1007/978-981-19-5868-7_67","Chapter"
"A Novel Space Information Network Architecture Based on SDN","Communications, Signal Processing, and Systems","","","","10.1007/978-981-10-3229-5_41","Gaoling ChenXiao PengChenglin ZhaoFangmin Xu","2018","http://link.springer.com/chapter/10.1007/978-981-10-3229-5_41","Chapter"
"An Effective Technique of Protocol-Aware Network Traffic Classification for Performance Enhancement of SDN","Proceedings of the Second International Conference on Information Management and Machine Intelligence","","","","10.1007/978-981-15-9689-6_59","Chaitali BhowmikTirthankar Gayen","2021","http://link.springer.com/chapter/10.1007/978-981-15-9689-6_59","Chapter"
"Secure, Context-Aware and QoS-Enabled SDN Architecture to Improve Energy Efficiency in IoT-Based Smart Buildings","Distributed Computing for Emerging Smart Networks","","","","10.1007/978-3-030-65810-6_4","Akram HakiriBassem SallemiFatma GhandourSadok Ben Yahia","2020","http://link.springer.com/chapter/10.1007/978-3-030-65810-6_4","Chapter"
"SDN-Enabled Virtual Data Diode","Computer Security","","","","10.1007/978-3-030-12786-2_7","Miguel Borges de FreitasLuis RosaTiago CruzPaulo Simões","2019","http://link.springer.com/chapter/10.1007/978-3-030-12786-2_7","Chapter"
"The Erlang Model for a Fragment of SDN Architecture","Advances in Automation II","","","","10.1007/978-3-030-71119-1_42","V. P. MochalovG. I. LinetsI. S. Palkanov","2021","http://link.springer.com/chapter/10.1007/978-3-030-71119-1_42","Chapter"
"Monitoring and Traffic Optimization Using Vertical Controller in Multi-domain SDN","International Conference on Artificial Intelligence: Advances and Applications 2019","","","","10.1007/978-981-15-1059-5_39","Anmol ChaturvediDevendra SomwanshiMahesh BundeleCharu Dubey","2020","http://link.springer.com/chapter/10.1007/978-981-15-1059-5_39","Chapter"
"Estimation of Raw Packets in SDN","Ubiquitous Communications and Network Computing","","","","10.1007/978-3-319-73423-1_13","Yash SinhaShikhar VashishthK. Haribabu","2018","http://link.springer.com/chapter/10.1007/978-3-319-73423-1_13","Chapter"
"Enabling Indirect Link Discovery Between SDN Switches","Proceedings of the International Conference on Computing and Communication Systems","","","","10.1007/978-981-33-4084-8_45","Mir Wajahat HussainDiptendu Sinha Roy","2021","http://link.springer.com/chapter/10.1007/978-981-33-4084-8_45","Chapter"
"Determining SDN Stability by the Analysis of Variance Technique","e-Infrastructure and e-Services for Developing Countries","","","","10.1007/978-3-031-06374-9_25","Ayotuyi T. AkinolaMatthew O. AdigunClementine N. Masango","2022","http://link.springer.com/chapter/10.1007/978-3-031-06374-9_25","Chapter"
"Test Derivation for SDN-Enabled Switches: A Logic Circuit Based Approach","Testing Software and Systems","","","","10.1007/978-3-319-99927-2_7","Jorge LópezNatalia KushikAsma BerririNina YevtushenkoDjamal Zeghlache","2018","http://link.springer.com/chapter/10.1007/978-3-319-99927-2_7","Chapter"
"An OpenvSwitch Extension for SDN Traceback","Network and System Security","","","","10.1007/978-3-030-02744-5_31","Danni RenWenti JiangHuakang LiGuozi Sun","2018","http://link.springer.com/chapter/10.1007/978-3-030-02744-5_31","Chapter"
"Spook in Your Network: Attacking an SDN with a Compromised OpenFlow Switch","Secure IT Systems","","","","10.1007/978-3-319-11599-3_14","Markku AntikainenTuomas AuraMikko Särelä","2014","http://link.springer.com/chapter/10.1007/978-3-319-11599-3_14","Chapter"
"Information Security of SDN on the Basis of Meta Data","Computer Network Security","","","","10.1007/978-3-319-65127-9_27","Alexander GrushoNick GrushoMichael ZabezhailoAlexander ZatsarinnyElena Timonina","2017","http://link.springer.com/chapter/10.1007/978-3-319-65127-9_27","Chapter"
"An SDN-Enabled IoT Architecture with Fog Computing and Edge Encryption Support","Proceedings of International Joint Conference on Computational Intelligence","","","","10.1007/978-981-15-3607-6_33","Md. Rashid Al AsifNagib MahfuzMd. Abdul Momin","2020","http://link.springer.com/chapter/10.1007/978-981-15-3607-6_33","Chapter"
"KarmaNet: SDN Solution to DNS-Based Denial-of-Service","Security in Computing and Communications","","","","10.1007/978-981-13-5826-5_33","Govind MittalVishal Gupta","2019","http://link.springer.com/chapter/10.1007/978-981-13-5826-5_33","Chapter"
"Enabling Cloud Connectivity Using SDN and NFV Technologies","Mobile Networks and Management","","","","10.1007/978-3-319-04277-0_19","Fariborz DerakhshanHeidrun Grob-LipskiHorst RoesslerPeter SchefczikMichael Soellner","2013","http://link.springer.com/chapter/10.1007/978-3-319-04277-0_19","Chapter"
"Improving Early Attack Detection in Networks with sFlow and SDN","Applied Computer Sciences in Engineering","","","","10.1007/978-3-030-00353-1_29","Alexander LealJuan Felipe BoteroEduardo Jacob","2018","http://link.springer.com/chapter/10.1007/978-3-030-00353-1_29","Chapter"
"Simulation Framework for Distributed SDN-Controller Architectures in OMNeT++","Mobile Networks and Management","","","","10.1007/978-3-319-52712-3_1","Nicholas GrayThomas ZinnerSteffen GebertPhuoc Tran-Gia","2017","http://link.springer.com/chapter/10.1007/978-3-319-52712-3_1","Chapter"
"A Fast Heuristic Path Computation Algorithm for the Batch Bandwidth Constrained Routing Problem in SDN","PRICAI 2018: Trends in Artificial Intelligence","","","","10.1007/978-3-319-97304-3_38","Dongjun QianPeng YangKe Tang","2018","http://link.springer.com/chapter/10.1007/978-3-319-97304-3_38","Chapter"
"A Novel Resource Optimization Algorithm for Dynamic Networks Combined with NFV and SDN","Wireless and Satellite Systems","","","","10.1007/978-3-030-19156-6_27","Qian ZhangXiaohua QiuXiaorong Zhu","2019","http://link.springer.com/chapter/10.1007/978-3-030-19156-6_27","Chapter"
"SDN-Based In-network Early QoE Prediction for Stable Route Selection on Multi-path Network","Advances in Intelligent Networking and Collaborative Systems","","","","10.1007/978-3-030-57796-4_46","Shumpei ShimokawaYuzo TaenakaKazuya TsukamotoMyung Lee","2021","http://link.springer.com/chapter/10.1007/978-3-030-57796-4_46","Chapter"
"Inter-slice Mobility Management in the Context of SDN/NFV Networks","Distributed Computing for Emerging Smart Networks","","","","10.1007/978-3-030-40131-3_5","Amal KammounNabil TabbaneGladys DiazNadjib AchirAbdulhalim Dandoush","2020","http://link.springer.com/chapter/10.1007/978-3-030-40131-3_5","Chapter"
"A Network Forensics Investigating Method Based on Weak Consistency for Distributed SDN","Ubiquitous Security","","","","10.1007/978-981-19-0468-4_18","Xuehua LiuLiping DingTao ZhengFang YuZhen JiaWang Xiao","2022","http://link.springer.com/chapter/10.1007/978-981-19-0468-4_18","Chapter"
"Research and Implementation of Flow Table Optimization Strategy for SDN Switches Based on the Idea of “Main Road”","Computer Supported Cooperative Work and Social Computing","","","","10.1007/978-981-15-1377-0_7","Zhaohui MaZenghui YangGansen Zhao","2019","http://link.springer.com/chapter/10.1007/978-981-15-1377-0_7","Chapter"
"A Quality of Experience Aware Adaptive Streaming Service for SDN Supported 5G Mobile Networks","Frontier Computing","","","","10.1007/978-981-10-3187-8_29","Chin-Feng LaiWei-Ting ChenChian-Hao ChenChia-Yun KuoYing-Hsun Lai","2018","http://link.springer.com/chapter/10.1007/978-981-10-3187-8_29","Chapter"
"Forwarding Strategy in SDN-Based Content Centric Network","Proceedings of the International Conference on Paradigms of Communication, Computing and Data Sciences","","","","10.1007/978-981-16-5747-4_5","Divyanshi VermaSharmistha AdhikariSangram Ray","2022","http://link.springer.com/chapter/10.1007/978-981-16-5747-4_5","Chapter"
"Literature Review on Redistribution of Routing Protocols in Wireless Networks Using SDN Along with NFV","Soft Computing for Security Applications","","","","10.1007/978-981-16-5301-8_41","Sanjay S. KadamD. R. Ingle","2022","http://link.springer.com/chapter/10.1007/978-981-16-5301-8_41","Chapter"
"SDN Based Content-Centric QoS-Guaranteed for Wireless Multimedia Sensor Networks","Industrial Networks and Intelligent Systems","","","","10.1007/978-3-319-74176-5_4","Gaolei LiJun WuJianhua LiKuan WangShan He","2018","http://link.springer.com/chapter/10.1007/978-3-319-74176-5_4","Chapter"
"Cryptographic Algorithm Invocation in IPsec: Guaranteeing the Communication Security in the Southbound Interface of SDN Networks","Communications and Networking","","","","10.1007/978-3-030-06161-6_57","Deqiang WangWan TangXimin YangWei Feng","2019","http://link.springer.com/chapter/10.1007/978-3-030-06161-6_57","Chapter"
"An SDN-Based Self-adaptive Resource Allocation Mechanism for Service Customization","Wireless Algorithms, Systems, and Applications","","","","10.1007/978-3-030-86137-7_21","Zhaoyang DaiXingwei WangBo YiMin HuangZhengyu Li","2021","http://link.springer.com/chapter/10.1007/978-3-030-86137-7_21","Chapter"
"An Enhanced Flow-Based QoS Management Within Edge Layer for SDN-Based IoT Networking","Towards new e-Infrastructure and e-Services for Developing Countries","","","","10.1007/978-3-030-70572-5_10","Avewe BasseneBamba Gueye","2021","http://link.springer.com/chapter/10.1007/978-3-030-70572-5_10","Chapter"
"Detecting and Preventing DDoS Attacks in SDN-Based Data Center Networks","Cloud Computing and Security","","","","10.1007/978-3-319-68542-7_5","Po-Ching LinYu-Ting HsuRen-Hung Hwang","2017","http://link.springer.com/chapter/10.1007/978-3-319-68542-7_5","Chapter"
"SDNVD-SCADA: A Formalized Vulnerability Detection Platform in SDN-Enabled SCADA System","Advanced Computer Architecture","","","","10.1007/978-981-15-8135-9_1","Jinjing ZhaoLing PangBai Lin","2020","http://link.springer.com/chapter/10.1007/978-981-15-8135-9_1","Chapter"
"An SDN and CPS Based Opportunistic Upload Splitting for Mobile Users","Internet of Things. IoT Infrastructures","","","","10.1007/978-3-319-47063-4_6","Maurizio CasoniCarlo Augusto GraziaMartin Klapez","2016","http://link.springer.com/chapter/10.1007/978-3-319-47063-4_6","Chapter"
"FloodSight: A Visual-Aided Floodlight Controller Extension for SDN Networks","Smart Graphics","","","","10.1007/978-3-319-53838-9_6","Xi ChenDongqi GuoWufangjie MaLonghui He","2017","http://link.springer.com/chapter/10.1007/978-3-319-53838-9_6","Chapter"
"Botnet Attack Identification Based on SDN","Cyber Security, Cryptology, and Machine Learning","","","","10.1007/978-3-031-07689-3_12","Avresky DimiterDobrin Dobrev","2022","http://link.springer.com/chapter/10.1007/978-3-031-07689-3_12","Chapter"
"Applying TOPSIS Method for Software Defined Networking (SDN) Controllers Comparison and Selection","Communications and Networking","","","","10.1007/978-3-319-66628-0_13","Firas Fawzy Zobary","2018","http://link.springer.com/chapter/10.1007/978-3-319-66628-0_13","Chapter"
"Research on DDoS Abnormal Traffic Detection Under SDN Network","Parallel Architectures, Algorithms and Programming","","","","10.1007/978-981-15-2767-8_33","Zhaohui MaJialiang Huang","2020","http://link.springer.com/chapter/10.1007/978-981-15-2767-8_33","Chapter"
"Mathematical Analysis of DDoS Attacks in SDN-based 5G","Towards new e-Infrastructure and e-Services for Developing Countries","","","","10.1007/978-3-031-34896-9_7","B. O. S. BIAOUA. O. OluwatopeB. S. Ogundare","2023","http://link.springer.com/chapter/10.1007/978-3-031-34896-9_7","Chapter"
"Control Plane Efficiency by Load Adjustment in SDN","Smart Trends in Computing and Communications","","","","10.1007/978-981-16-4016-2_48","K. SrideviM. A. Saifulla","2022","http://link.springer.com/chapter/10.1007/978-981-16-4016-2_48","Chapter"
"Improving the Routing Process in SDN Using a Combination of the Evidence Theory and ML","Intelligent Systems Design and Applications","","","","10.1007/978-3-031-35510-3_26","Ali El KamelHamdi EltaiefHabib Youssef","2023","http://link.springer.com/chapter/10.1007/978-3-031-35510-3_26","Chapter"
"Design of Real-Time Resource-Aware Network Resource Allocation Mechanism Under SDN Background","Artificial Intelligence and Security","","","","10.1007/978-3-030-24265-7_55","Ningcheng YuanZhe ZhangWenjing LiFeng QiShaoyong GuoXuesong QiuWenchen He","2019","http://link.springer.com/chapter/10.1007/978-3-030-24265-7_55","Chapter"
"Deep Learning Based Detection Method for SDN Malicious Applications","Communications, Signal Processing, and Systems","","","","10.1007/978-981-13-6508-9_13","Chi YapingYu YuzhouYang Jianxi","2020","http://link.springer.com/chapter/10.1007/978-981-13-6508-9_13","Chapter"
"Mitigating Link-Flooding Attack with Segment Rerouting in SDN","Cyberspace Safety and Security","","","","10.1007/978-3-030-37337-5_6","Lixia XieYing DingHongyu Yang","2019","http://link.springer.com/chapter/10.1007/978-3-030-37337-5_6","Chapter"
"Distributed Audit System of SDN Controller Based on Blockchain","Smart Blockchain","","","","10.1007/978-3-030-34083-4_3","Zhenyu GuanHanzheng LyuHaibin ZhengDawei LiJianwei Liu","2019","http://link.springer.com/chapter/10.1007/978-3-030-34083-4_3","Chapter"
"SDN-Based Service Delivery in Smart Environments","Intelligent Distributed Computing IX","","","","10.1007/978-3-319-25017-5_45","Lucas Mendes Ribeiro ArbizaLiane Margarida Rockenbach TaroucoLeandro Márcio BertholdoLisandro Zambenedetti Granville","2016","http://link.springer.com/chapter/10.1007/978-3-319-25017-5_45","Chapter"
"Mobility Management in AP Using SDN-NFV Technologies","Communications, Signal Processing, and Systems","","","","10.1007/978-981-10-3229-5_1","Syed Mushhad M. GilaniWenqiang JinTang HongGuofeng ZhaoChuan Xu","2018","http://link.springer.com/chapter/10.1007/978-981-10-3229-5_1","Chapter"
"BEADS: Automated Attack Discovery in OpenFlow-Based SDN Systems","Research in Attacks, Intrusions, and Defenses","","","","10.1007/978-3-319-66332-6_14","Samuel JeroXiangyu BuCristina Nita-RotaruHamed OkhraviRichard SkowyraSonia Fahmy","2017","http://link.springer.com/chapter/10.1007/978-3-319-66332-6_14","Chapter"
"A Fine-Grained Detection Mechanism for SDN Rule Collision","Advanced Hybrid Information Processing","","","","10.1007/978-3-030-19086-6_60","Qiu XiaochenZheng ShihuiGu LizeCai Yongmei","2019","http://link.springer.com/chapter/10.1007/978-3-030-19086-6_60","Chapter"
"SDNStat-Sec: A Statistical Defense Mechanism Against DDoS Attacks in SDN-Based VANET","Advances on Smart and Soft Computing","","","","10.1007/978-981-15-6048-4_46","Faycal BensalahNajib ElkamounYoussef Baddi","2021","http://link.springer.com/chapter/10.1007/978-981-15-6048-4_46","Chapter"
"Area-Dividing Route Mutation in Moving Target Defense Based on SDN","Network and System Security","","","","10.1007/978-3-319-64701-2_43","Huiting TanChaojing TangChen ZhangShaolei Wang","2017","http://link.springer.com/chapter/10.1007/978-3-319-64701-2_43","Chapter"
"Securing of Software-Defined Networking (SDN) from DDoS Attack Using a Blockchain","Next Generation of Internet of Things","","","","10.1007/978-981-16-0666-3_32","Mehdi Ebady ManaaMohamed Salman Abedoun","2021","http://link.springer.com/chapter/10.1007/978-981-16-0666-3_32","Chapter"
"SDN Coordination for CCN and FC Content Dissemination in VANETs","Ad Hoc Networks","","","","10.1007/978-3-319-51204-4_18","Ridha SouaEirini KalogeitonGaetano ManzoJoao M. DuarteMaria Rita PalattellaAntonio Di MaioTorsten BraunThomas EngelLeandro A. VillasGianluca A. Rizzo","2017","http://link.springer.com/chapter/10.1007/978-3-319-51204-4_18","Chapter"
"A Dynamic Migration Strategy of SDN Controllers in LEO Networks","Simulation Tools and Techniques","","","","10.1007/978-3-030-97124-3_2","Liuwei HuoDingde JiangWei YangJianguang Chen","2022","http://link.springer.com/chapter/10.1007/978-3-030-97124-3_2","Chapter"
"Industrial Network Protection by SDN-Based IPS with AI","Intelligent Information and Database Systems","","","","10.1007/978-981-15-3380-8_17","Filip HolikPetr Dolezel","2020","http://link.springer.com/chapter/10.1007/978-981-15-3380-8_17","Chapter"
"An SDN-Based Dynamic Security Architecture for Space Information Networks","Space Information Networks","","","","10.1007/978-981-15-3442-3_9","Ziqi WangBaojiang CuiShen YaoMeiyi Jiang","2020","http://link.springer.com/chapter/10.1007/978-981-15-3442-3_9","Chapter"
"Smart SDN Policy Management Based VPN Multipoint","Lecture Notes in Real-Time Intelligent Systems","","","","10.1007/978-3-319-91337-7_24","Adel AlharbiAyoub BahnasseMohamed TaleaHafsa Ait OulahyaneFatima Ezzahraa Louhab","2019","http://link.springer.com/chapter/10.1007/978-3-319-91337-7_24","Chapter"
"DTGuard: A Lightweight Defence Mechanism Against a New DoS Attack on SDN","Information and Communications Security","","","","10.1007/978-3-030-41579-2_29","Jianwei HouZiqi ZhangWenchang ShiBo QinLiang Bin","2020","http://link.springer.com/chapter/10.1007/978-3-030-41579-2_29","Chapter"
"Deep Reinforcement Learning Based Congestion Control Mechanism for SDN and NDN in Satellite Networks","Mobile Wireless Middleware, Operating Systems and Applications","","","","10.1007/978-3-031-34497-8_2","Ziyang XingHui QiXiaoqiang DiJinyao LiuLigang Cong","2023","http://link.springer.com/chapter/10.1007/978-3-031-34497-8_2","Chapter"
"How to Develop a Security Controls Oriented Reference Architecture for Cloud, IoT and SDN/NFV Platforms","Trust Management XII","","","","10.1007/978-3-319-95276-5_1","Theo Dimitrakos","2018","http://link.springer.com/chapter/10.1007/978-3-319-95276-5_1","Chapter"
"An Analytical Queuing Model Based on SDN for IoT Traffic in 5G","Advanced Information Networking and Applications","","","","10.1007/978-3-031-28694-0_42","Aliyu Lawal AliyuJim Diockou","2023","http://link.springer.com/chapter/10.1007/978-3-031-28694-0_42","Chapter"
"The Investigation of Resource Allocation on Heterogeneous Space-Based Networks Based on SDN Framework","Space Information Networks","","","","10.1007/978-981-13-5937-8_10","Boyu DengChunxiao JiangLinling KuangShanghong Zhao","2019","http://link.springer.com/chapter/10.1007/978-981-13-5937-8_10","Chapter"
"An SDN-Based Strategy for Reliable Data Transmission in Mobile Wireless Sensor Networks","EAI International Conference on Big Data Innovation for Sustainable Cognitive Computing","","","","10.1007/978-3-030-19562-5_9","V. Shubha RaoM. Dakshayini","2020","http://link.springer.com/chapter/10.1007/978-3-030-19562-5_9","Chapter"
"A P4 BMv2-Based Feasibility Study on a Dynamic In-Band Control Channel for SDN","Advances in Intelligent Networking and Collaborative Systems","","","","10.1007/978-3-031-14627-5_45","Kazumi KumazoeMasahiro ShibataMasato Tsuru","2022","http://link.springer.com/chapter/10.1007/978-3-031-14627-5_45","Chapter"
"Towards Island Networks: SDN-Enabled Virtual Private Networks with Peer-to-Peer Overlay Links for Edge Computing","Internet and Distributed Computing Systems","","","","10.1007/978-3-030-02738-4_11","Kensworth SubratieRenato Figueiredo","2018","http://link.springer.com/chapter/10.1007/978-3-030-02738-4_11","Chapter"
"Employing LRCN Model for Application Classification in SDN","Soft Computing for Problem Solving","","","","10.1007/978-981-16-2712-5_29","Adarsh RaiAbdul AleemManoj Madhava Gore","2021","http://link.springer.com/chapter/10.1007/978-981-16-2712-5_29","Chapter"
"Split Point Selection Based on Candidate Attachment Points for Mobility Management in SDN","Proceedings of the 13th International Conference on Ubiquitous Information Management and Communication (IMCOM) 2019","","","","10.1007/978-3-030-19063-7_15","Bora KimSyed M. RazaRajesh ChallaJongkwon JangHyunseung Choo","2019","http://link.springer.com/chapter/10.1007/978-3-030-19063-7_15","Chapter"
"Benefit Optimization of SDN Honeynet System Based on Mimic Defense","Simulation Tools and Techniques","","","","10.1007/978-3-030-72795-6_21","Desheng ZhangLei Chen","2021","http://link.springer.com/chapter/10.1007/978-3-030-72795-6_21","Chapter"
"SDN Southbound Protocols: A Comparative Study","Emerging Trends in Intelligent Systems & Network Security","","","","10.1007/978-3-031-15191-0_39","Lamiae BoukraaSafaa MahrachKhalid El MakkaouiRedouane Esbai","2023","http://link.springer.com/chapter/10.1007/978-3-031-15191-0_39","Chapter"
"A Hybrid Strategy for DoS Attacks Detection and Mitigation on SDN Enabled Real Scenarios","Proceedings of Eighth International Congress on Information and Communication Technology","","","","10.1007/978-981-99-3091-3_58","Jaime VergaraChristian GarzónJuan Felipe Botero","2023","http://link.springer.com/chapter/10.1007/978-981-99-3091-3_58","Chapter"
"Network Optimization Under Traffic Uncertainties Based on SDN","Human Centered Computing","","","","10.1007/978-3-030-37429-7_37","Junjie TengYuxue HuYong ZhangMo Chen","2019","http://link.springer.com/chapter/10.1007/978-3-030-37429-7_37","Chapter"
"Design and Implementation of a Novel SDN-Based Architecture for Wi-Fi Networks","Parallel and Distributed Computing, Applications and Technologies","","","","10.1007/978-981-13-5907-1_4","Lei LiuMingzheng LiLei MeiYe Tian","2019","http://link.springer.com/chapter/10.1007/978-981-13-5907-1_4","Chapter"
"Applying Reinforcement Learning in SDN: A Packet Re-transmission Policy","Ambient Communications and Computer Systems","","","","10.1007/978-981-16-7952-0_26","Vasantharaj KarunakaranAngelina Geetha","2022","http://link.springer.com/chapter/10.1007/978-981-16-7952-0_26","Chapter"
"Energy-Efficient Resource Scheduling in Fog Computing Using SDN Framework","Progress in Computing, Analytics and Networking","","","","10.1007/978-981-15-2414-1_57","Mahmoud Al AhmadSudhansu Shekhar PatraRabindra K. Barik","2020","http://link.springer.com/chapter/10.1007/978-981-15-2414-1_57","Chapter"
"Mitigating DoS Attacks in SDN Using Offloading Path Strategies","Security with Intelligent Computing and Big-data Services","","","","10.1007/978-3-319-76451-1_7","Tai-Siang HuangPo-Yang HsiungBo-Chao Cheng","2018","http://link.springer.com/chapter/10.1007/978-3-319-76451-1_7","Chapter"
"Multi-party WebRTC as a Managed Service over Multi-Operator SDN","Advanced Communication Systems and Information Security","","","","10.1007/978-3-030-61143-9_3","Riza Arda KirmiziogluA. Murat Tekalp","2020","http://link.springer.com/chapter/10.1007/978-3-030-61143-9_3","Chapter"
"Two-Level Intrusion Detection System in SDN Using Machine Learning","ICCCE 2018","","","","10.1007/978-981-13-0212-1_47","V. VetriselviP. S. ShrutiSusan Abraham","2019","http://link.springer.com/chapter/10.1007/978-981-13-0212-1_47","Chapter"
"An Adaptive and Efficient Network Traffic Measurement Method Based on SDN in IoT","Simulation Tools and Techniques","","","","10.1007/978-3-030-97124-3_6","Wansheng CaiXi SongChuan LiuDingde JiangLiuwei Huo","2022","http://link.springer.com/chapter/10.1007/978-3-030-97124-3_6","Chapter"
"TLShps: SDN-Based TLS Handshake Protocol Simplification for IoT","Security, Privacy, and Anonymity in Computation, Communication, and Storage","","","","10.1007/978-3-030-24907-6_14","Lei YanMaode MaYan Ma","2019","http://link.springer.com/chapter/10.1007/978-3-030-24907-6_14","Chapter"
"Influence of Entrepreneurial Leadership on Successful Indian Entrepreneurs in K-Link International Sdn. Bhd.","Industry Forward and Technology Transformation in Business and Entrepreneurship","","","","10.1007/978-981-99-2337-3_5","Balakrishnan ParasuramanShalini Raja Kapol","2023","http://link.springer.com/chapter/10.1007/978-981-99-2337-3_5","Chapter"
"Load and Energy Balance Strategy of SDN Control Plane in Mobility Scenarios","Signal and Information Processing, Networking and Computers","","","","10.1007/978-981-19-3387-5_173","Fuwei ZhangWenwen MaDequan XiaoHongyu Peng","2023","http://link.springer.com/chapter/10.1007/978-981-19-3387-5_173","Chapter"
"Resource Management in SDN-VANETs Using Fuzzy Logic: Effect of Data Complexity on Coordination of Cloud-Fog-Edge Resources","Complex, Intelligent and Software Intensive Systems","","","","10.1007/978-3-030-50454-0_52","Ermioni QafzeziKevin BylykbashiMakoto IkedaKeita MatsuoLeonard BarolliMakoto Takizawa","2021","http://link.springer.com/chapter/10.1007/978-3-030-50454-0_52","Chapter"
"A Survey of Quality of Service (QoS) Protocols and Software-Defined Networks (SDN)","Intelligent Computing","","","","10.1007/978-3-030-01177-2_38","Ronak Al-HaddadErika Sanchez Velazquez","2019","http://link.springer.com/chapter/10.1007/978-3-030-01177-2_38","Chapter"
"A Stepwise Path Selection Scheme Based on Multiple QoS Parameters Evaluation in SDN","Collaborative Computing: Networking, Applications and Worksharing","","","","10.1007/978-3-030-92635-9_29","Lin LiuJian-Tao ZhouHai-Feng XingXiao-Yong Guo","2021","http://link.springer.com/chapter/10.1007/978-3-030-92635-9_29","Chapter"
"Implementation of a Fuzzy-Based Testbed for Assessment of Neighbor Vehicle Processing Capability in SDN-VANETs","Advanced Information Networking and Applications","","","","10.1007/978-3-031-29056-5_11","Ermioni QafzeziKevin BylykbashiElis KullaMakoto IkedaKeita MatsuoLeonard Barolli","2023","http://link.springer.com/chapter/10.1007/978-3-031-29056-5_11","Chapter"
"Variants of Software Defined Network (SDN) Based Load Balancing in Cloud Computing: A Quick Review","Future Internet Technologies and Trends","","","","10.1007/978-3-319-73712-6_17","Jitendra BhatiaRuchi MehtaMadhuri Bhavsar","2018","http://link.springer.com/chapter/10.1007/978-3-319-73712-6_17","Chapter"
"Ensembled Machine Learning Techniques for DDoS Detection in SDN","Proceedings of Third International Conference on Advances in Computer Engineering and Communication Systems","","","","10.1007/978-981-19-9228-5_32","P. Tarakanadha ReddyP. V. ShaliniV. Radha","2023","http://link.springer.com/chapter/10.1007/978-981-19-9228-5_32","Chapter"
"Construction and Methods for Solving Problems at the SDN Control Level","Emerging Networking in the Digital Transformation Age","","","","10.1007/978-3-031-24963-1_6","Oleksander RomanovMykola NesterenkoGennaro BoggiaDomenico Striccoli","2023","http://link.springer.com/chapter/10.1007/978-3-031-24963-1_6","Chapter"
"Discussion on the Construction of Wireless Campus Network Based on SDN Architecture","The 2020 International Conference on Machine Learning and Big Data Analytics for IoT Security and Privacy","","","","10.1007/978-3-030-62746-1_24","Dongqing Hou","2021","http://link.springer.com/chapter/10.1007/978-3-030-62746-1_24","Chapter"
"Case Study on the Performance of ML-Based Network Intrusion Detection Systems in SDN","Networked Systems","","","","10.1007/978-3-031-37765-5_7","Adnane MzibriRedouane BenainiMouad Ben Mamoun","2023","http://link.springer.com/chapter/10.1007/978-3-031-37765-5_7","Chapter"
"Comparative Study of Fault-Diagnosis Models Based on QoS Metrics in SDN","Computer Networks, Big Data and IoT","","","","10.1007/978-981-16-0965-7_60","Anil Singh PariharNandana Tiwari","2021","http://link.springer.com/chapter/10.1007/978-981-16-0965-7_60","Chapter"
"Security Service Chain Based on SDN&NFV Construction Technology","Signal and Information Processing, Networking and Computers","","","","10.1007/978-981-15-4163-6_100","Xuesong ZhangXinzhou ChengHaibin LiXingtong LiuLexi XuHong Jiang","2020","http://link.springer.com/chapter/10.1007/978-981-15-4163-6_100","Chapter"
"An SDN-Based DDoS Traffic Generation, Collection and Classification Using Machine Learning Techniques","Advanced Engineering Optimization Through Intelligent Techniques","","","","10.1007/978-981-19-9285-8_39","T. ArvindK. Radhika","2023","http://link.springer.com/chapter/10.1007/978-981-19-9285-8_39","Chapter"
